,points
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,9
-39,11
-39,1
-39,1
-39,1
-39,6
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,5
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,1
-39,1
-39,5
-39,1
-39,1
-39,1
-39,6
-39,1
-39,8
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,4
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,5
-39,1
-39,6
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,4
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,3
-39,1
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,7
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,5
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,1
-39,2
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,22
-39,7
-39,1
-39,1
-39,3
-39,1
-39,1
-39,4
-39,4
-39,1
-39,1
-39,1
-39,1
-39,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,2
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,6
-38,1
-38,1
-38,1
-38,7
-38,1
-38,5
-38,1
-38,3
-38,1
-38,1
-38,2
-38,3
-38,1
-38,5
-38,7
-38,1
-38,1
-38,1
-38,3
-38,1
-38,3
-38,1
-38,1
-38,1
-38,5
-38,1
-38,6
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,20
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,6
-38,1
-38,4
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,12
-38,1
-38,1
-38,1
-38,7
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,7
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,5
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,33
-38,1
-38,1
-38,1
-38,1
-38,1
-38,16
-38,6
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,9
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,3
-38,1
-38,2
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,6
-38,1
-38,4
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,15
-38,1
-38,10
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,5
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,6
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,5
-38,1
-38,1
-38,1
-38,1
-38,7
-38,8
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,14
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,11
-38,1
-38,1
-38,1
-38,1
-38,3
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,18
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,19
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,5
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,10
-38,1
-38,3
-38,1
-38,1
-38,8
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,9
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,10
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,4
-38,1
-38,1
-38,1
-38,1
-38,1
-38,30
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,11
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,3
-38,1
-38,6
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,6
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,22
-38,1
-38,1
-38,9
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,7
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,6
-38,1
-38,1
-38,1
-38,1
-38,1
-38,3
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,14
-38,1
-38,1
-38,1
-38,7
-38,1
-38,1
-38,1
-38,1
-38,3
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,10
-38,21
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,8
-38,1
-38,1
-38,8
-38,1
-38,1
-38,1
-38,1
-38,22
-38,1
-38,8
-38,1
-38,1
-38,29
-38,6
-38,1
-38,1
-38,9
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,44
-38,1
-38,1
-38,27
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,42
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,9
-38,1
-38,1
-38,1
-38,6
-38,1
-38,1
-38,1
-38,6
-38,1
-38,1
-38,4
-38,1
-38,1
-38,21
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,12
-38,1
-38,1
-38,1
-38,1
-38,1
-38,4
-38,1
-38,1
-38,1
-38,1
-38,2
-38,1
-38,1
-38,7
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,5
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,16
-38,1
-38,1
-38,1
-38,1
-38,1
-38,8
-38,1
-38,1
-38,1
-38,1
-38,1
-38,7
-38,1
-38,1
-38,11
-38,1
-38,1
-38,17
-38,12
-38,1
-38,1
-38,2
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,39
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,11
-38,1
-38,1
-38,5
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,18
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,4
-38,2
-38,2
-38,1
-38,13
-38,1
-38,1
-38,4
-38,19
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,8
-38,1
-38,1
-38,1
-38,5
-38,1
-38,1
-38,25
-38,1
-38,1
-38,1
-38,12
-38,1
-38,1
-38,1
-38,1
-38,11
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,5
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,1
-38,28
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,13
-37,13
-37,1
-37,1
-37,4
-37,3
-37,1
-37,1
-37,1
-37,1
-37,2
-37,1
-37,1
-37,1
-37,1
-37,2
-37,1
-37,2
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,2
-37,1
-37,1
-37,4
-37,1
-37,2
-37,2
-37,1
-37,1
-37,1
-37,3
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,2
-37,3
-37,1
-37,1
-37,5
-37,1
-37,7
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,3
-37,1
-37,1
-37,1
-37,2
-37,2
-37,3
-37,1
-37,1
-37,8
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,6
-37,5
-37,1
-37,1
-37,1
