file_name,AUC,TSS
"Epeolus_caffer_(Lepeletier,_1841)_performance",0.988263333,0.94718
"Andrena_nida_Mitchell,_1960_performance",0.988180147,0.96744
"Anthidium_chilense_Spinola,_1851_performance",0.988080294,0.943829412
"Calliopsis_edwardsii_Cresson,_1878_performance",0.988031793,0.927243902
"Centris_cineraria_Smith,_1854_performance",0.987972454,0.92562437
"Plesianthidium_volkmanni_(Friese,_1909)_performance",0.987893952,0.94344
"Meliturgula_flavida_(Friese,_1913)_performance",0.987815417,0.949
"Sphecodopsis_aculeata_(Friese,_1922)_performance",0.9877,0.97098
"Andrena_synadelpha_Perkins,_1914_performance",0.987671949,0.928904859
"Nomada_parva_Robertson,_1900_performance",0.9876535,0.921947179
"Andrena_washingtoni_Cockerell,_1901_performance",0.98765125,0.96984
"Nomada_fragariae_Mitchell,_1962_performance",0.987642952,0.94362
"Lasioglossum_apopkense_(Robertson,_1892)_performance",0.987595,0.92938
"Lasioglossum_cattellae_(Ellis,_1913)_performance",0.987494197,0.923016456
"Ceratina_tejonensis_Cresson,_1864_performance",0.987421983,0.94778
"Andrena_fuscicauda_(Viereck,_1904)_performance",0.987402366,0.93996
"Anthophora_flavocincta_Huard,_1897_performance",0.987389053,0.927013865
"Scaura_coccidophila_(Camargo_and_Pedro,_2002)_performance",0.98737725,0.96856
"Lasioglossum_rozeni_Gibbs,_2011_performance",0.987350769,0.938683077
"Melipona_paraensis_Ducke,_1916_performance",0.987295394,0.924667488
"Sphecodes_aroniae_Mitchell,_1960_performance",0.987237661,0.919491837
"Andrena_fabrella_Pérez,_1903_performance",0.987206264,0.95858
"Megachile_rancaguensis_Friese,_1905_performance",0.987164183,0.913128366
"Bombus_hypocrita_Pérez,_1905_performance",0.987043671,0.900898355
"Coelioxys_abdominalis_Guérin-Méneville,_1845_performance",0.9870095,0.925946667
"Tetraloniella_ogilviae_(Cockerell,_1935)_performance",0.98700419,0.97682
"Oxaea_austera_Gerstäcker,_1867_performance",0.986994167,0.94926
"Sphecodes_autumnalis_Mitchell,_1956_performance",0.986985119,0.923691621
"Euglossa_cyanura_Cockerell,_1917_performance",0.986950735,0.93286
"Andrena_nigripes_Provancher,_1895_performance",0.986861667,0.938886667
"Lasioglossum_sexsetum_Walker,_1995_performance",0.986858333,0.918366667
"Apis_koschevnikovi_Enderlein,_1906_performance",0.986857292,0.94982
"Fidelia_friesei_(Brauns,_1926)_performance",0.98684,0.95518
"Augochlorella_karankawa_Coelho,_2004_performance",0.98684,0.9737
"Partamona_peckolti_(Friese,_1901)_performance",0.986839516,0.94282
"Ruizantheda_proxima_(Spinola,_1851)_performance",0.986792857,0.965474286
